"Name","Live Bytes","Live Objects"
"java.nio.DirectByteBuffer","52,224 B (0%)","816 (0%)"
"org.springframework.boot.context.properties.source.ConfigurationPropertyName$ElementType[]","51,992 B (0%)","1,298 (0%)"
"java.lang.annotation.Annotation[]","50,712 B (0%)","2,144 (0%)"
"java.lang.invoke.LambdaForm","49,776 B (0%)","1,037 (0%)"
"java.lang.ThreadLocal$ThreadLocalMap$Entry[]","49,520 B (0%)","619 (0%)"
"sun.security.util.DerInputStream","46,600 B (0%)","1,165 (0%)"
"java.lang.invoke.BoundMethodHandle$Species_L","45,440 B (0%)","1,136 (0%)"
"java.lang.Thread$FieldHolder","44,920 B (0%)","1,123 (0%)"
"java.lang.reflect.Field[]","44,032 B (0%)","1,149 (0%)"
"java.util.IdentityHashMap","42,440 B (0%)","1,061 (0%)"
"sun.reflect.generics.reflectiveObjects.TypeVariableImpl","42,272 B (0%)","1,321 (0%)"
"org.springframework.beans.factory.annotation.InjectionMetadata","41,376 B (0%)","1,724 (0%)"
"io.netty.channel.DefaultChannelHandlerContext","41,216 B (0%)","736 (0%)"
"java.io.FileDescriptor","40,800 B (0%)","1,020 (0%)"
"java.util.concurrent.atomic.AtomicBoolean","40,736 B (0%)","2,546 (0%)"
"java.net.InetAddress$InetAddressHolder","40,384 B (0%)","1,262 (0%)"
"org.springframework.beans.factory.support.ConstructorResolver$ConstructorDependencyDescriptor","40,248 B (0%)","559 (0%)"
"org.apache.kafka.clients.consumer.internals.AbstractCoordinator$HeartbeatThread","40,120 B (0%)","295 (0%)"
"java.lang.Package","40,000 B (0%)","1,250 (0%)"
"java.util.WeakHashMap","39,840 B (0%)","830 (0%)"
"sun.nio.ch.SelectionKeyImpl","39,648 B (0%)","826 (0%)"
"org.springframework.core.convert.support.GenericConversionService$ConvertersForPair","39,264 B (0%)","2,454 (0%)"
"java.lang.Package$VersionInfo","39,160 B (0%)","979 (0%)"
"org.springframework.core.convert.support.GenericConversionService$ConverterAdapter","38,944 B (0%)","1,217 (0%)"
"java.security.AccessControlContext","38,320 B (0%)","958 (0%)"
"org.apache.kafka.clients.consumer.internals.FetchMetricsRegistry","37,760 B (0%)","295 (0%)"
"org.springframework.kafka.listener.KafkaMessageListenerContainer","37,760 B (0%)","295 (0%)"
"java.util.concurrent.CountDownLatch$Sync","37,696 B (0%)","1,178 (0%)"
"java.security.ProtectionDomain[]","37,672 B (0%)","931 (0%)"
"java.math.BigInteger","37,440 B (0%)","936 (0%)"
"sun.security.util.DerValue","37,280 B (0%)","1,165 (0%)"
"java.util.Collections$UnmodifiableSet","37,008 B (0%)","2,313 (0%)"
"java.lang.invoke.DirectMethodHandle$Accessor","36,912 B (0%)","769 (0%)"
"jdk.jfr.AnnotationElement","36,576 B (0%)","1,524 (0%)"
"java.net.InetSocketAddress$InetSocketAddressHolder","36,360 B (0%)","1,515 (0%)"
"sun.nio.ch.SocketAdaptor","35,760 B (0%)","745 (0%)"
"org.apache.kafka.clients.consumer.internals.LegacyKafkaConsumer","35,400 B (0%)","295 (0%)"
"jdk.jfr.internal.AnnotationConstruct","35,232 B (0%)","1,468 (0%)"
"org.springframework.core.annotation.AnnotationTypeMapping$MirrorSets$MirrorSet[]","34,888 B (0%)","1,277 (0%)"
"org.apache.kafka.common.Node","34,840 B (0%)","871 (0%)"
"sun.reflect.generics.scope.ClassScope","34,536 B (0%)","1,439 (0%)"
"java.util.concurrent.atomic.AtomicReference","34,480 B (0%)","2,155 (0%)"
"sun.util.locale.BaseLocale","34,016 B (0%)","1,063 (0%)"
"java.util.Locale","34,016 B (0%)","1,063 (0%)"
"java.util.jar.Attributes$Name","33,600 B (0%)","1,400 (0%)"
"sun.util.locale.BaseLocale$Key","33,408 B (0%)","1,044 (0%)"
"sun.reflect.generics.repository.ClassRepository","33,344 B (0%)","1,042 (0%)"
"sun.reflect.generics.tree.TypeVariableSignature","33,312 B (0%)","2,082 (0%)"
"java.util.jar.JarFile$JarFileEntry","33,072 B (0%)","318 (0%)"
"org.apache.kafka.common.metrics.internals.IntGaugeSuite","33,040 B (0%)","590 (0%)"
"org.apache.kafka.common.config.AbstractConfig$RecordingMap","33,040 B (0%)","590 (0%)"
"org.apache.kafka.clients.consumer.internals.ConsumerMetadata","33,040 B (0%)","295 (0%)"
"org.apache.kafka.common.network.Selector$SelectorMetrics","33,040 B (0%)","295 (0%)"
"java.lang.invoke.BoundMethodHandle$Species_LLL","32,928 B (0%)","686 (0%)"
"java.lang.invoke.DirectMethodHandle$StaticAccessor","32,144 B (0%)","574 (0%)"
"org.springframework.core.annotation.AnnotationTypeMapping[]","32,016 B (0%)","1,157 (0%)"
"io.netty.handler.codec.CodecOutputList","31,744 B (0%)","992 (0%)"
"sun.reflect.generics.tree.FormalTypeParameter","31,728 B (0%)","1,322 (0%)"
"java.lang.management.LockInfo","31,584 B (0%)","1,316 (0%)"
"jdk.jfr.ValueDescriptor","31,200 B (0%)","780 (0%)"
"org.springframework.core.SerializableTypeWrapper$MethodParameterTypeProvider","31,072 B (0%)","971 (0%)"
"org.apache.kafka.common.network.Selector","30,680 B (0%)","295 (0%)"
"java.util.concurrent.CopyOnWriteArraySet","30,176 B (0%)","1,886 (0%)"
"org.springframework.beans.factory.support.MethodOverrides","29,744 B (0%)","1,859 (0%)"
"java.util.concurrent.LinkedBlockingQueue","29,376 B (0%)","612 (0%)"
"org.springframework.util.ConcurrentReferenceHashMap$Segment[]","29,120 B (0%)","364 (0%)"
"org.apache.kafka.common.message.FetchRequestData$ReplicaState","29,088 B (0%)","909 (0%)"
"java.util.Collections$SetFromMap","28,560 B (0%)","1,190 (0%)"
"java.util.EnumMap","28,480 B (0%)","712 (0%)"
"org.springframework.scheduling.concurrent.ThreadPoolTaskScheduler","28,416 B (0%)","296 (0%)"
"org.apache.kafka.clients.NetworkClient","28,320 B (0%)","295 (0%)"
"sun.nio.ch.IOVecWrapper","28,320 B (0%)","590 (0%)"
"sun.security.x509.AVA","27,960 B (0%)","1,165 (0%)"
"sun.security.x509.RDN","27,960 B (0%)","1,165 (0%)"
"sun.security.x509.AVA[]","27,960 B (0%)","1,165 (0%)"
"org.springframework.core.annotation.AnnotationTypeMapping$MirrorSets","27,768 B (0%)","1,157 (0%)"
